Sample_Name,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,characteristics_ch1.1,characteristics_ch1.2,characteristics_ch1.3,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,data_processing.1,data_processing.2,platform_id,contact_name,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,supplementary_file.1,data_row_count,cell line:ch1,cosmic_id:ch1,primary histology:ch1,primary site:ch1,Sample_Plate,Sample_Group,Pool_ID,Project,Sample_Well,Basename,filenames,Purity_Impute_Absolute,Gains,Amp,HetLoss,HomDel,Amp10
KYSE410,CellLine_KYSE-410,GSM1670021,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,KYSE-410,Homo sapiens,cell line: KYSE-410,primary site: aero_digestive_tract,primary histology: oesophagus,cosmic_id: 753574,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670021/suppl/GSM1670021_7878191015_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670021/suppl/GSM1670021_7878191015_R04C01_Red.idat.gz,0,KYSE-410,753574,oesophagus,aero_digestive_tract,,Tumor,,,,7878191015_R04C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670021/GSM1670021_7878191015_R04C01,0.849475000000004,CDK4;TRIB1;ADAR;ARPC1A;E2F3;FANCD2;MDM2;MYC;RAB23;PIK3CA;DCUN1D1;EIF5A2;C11orf30;SMURF1;SOX2;SOX4;AURKA;VHL;YWHAB;YWHAZ;ZNF217;YEATS4;EIF2A;DYRK2,YAP1;BIRC2;BIRC3;CCND1;NCOA3;FADD,BCL2L2-PABPN1;CD274;NRAS;PTEN;TET1;CCND2;CCNE1,LINC00290,STARD3;ERBB2;GRB7
KYSE450,CellLine_KYSE-450,GSM1670022,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,KYSE-450,Homo sapiens,cell line: KYSE-450,primary site: aero_digestive_tract,primary histology: oesophagus,cosmic_id: 907320,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670022/suppl/GSM1670022_7878191054_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670022/suppl/GSM1670022_7878191054_R06C02_Red.idat.gz,0,KYSE-450,907320,oesophagus,aero_digestive_tract,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1670022_7878191054_R06C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670022/GSM1670022_7878191054_R06C02,0.821257666666669,CDK4;CDK6;TRIB1;CDKN2B;YAP1;ARPC1A;EEF1A2;ETV1;CD274;HRAS;BIRC2;BIRC3;KIT;MDM2;PAK1;RAB23;PIK3CA;PIK3CB;PIK3CG;DCUN1D1;EIF5A2;C11orf30;SMURF1;PTK6;REL;SKP2;SOX2;YEATS4;EIF2A;DYRK2;RUVBL1;FADD;CCND2;CHD1L;IST1,EGFR,EIF2S1;FAT1;LINC00290;CCNE1,CDKN2A,MYC
KYSE510,CellLine_KYSE-510,GSM1670024,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,KYSE-510,Homo sapiens,cell line: KYSE-510,primary site: aero_digestive_tract,primary histology: oesophagus,cosmic_id: 907321,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670024/suppl/GSM1670024_7878191054_R06C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670024/suppl/GSM1670024_7878191054_R06C01_Red.idat.gz,0,KYSE-510,907321,oesophagus,aero_digestive_tract,,Tumor,,,,7878191054_R06C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670024/GSM1670024_7878191054_R06C01,0.884125833333336,AKT3;TRIB1;ADAR;CKS1B;DNMT3B;EEF1A2;EIF2S1;FAT1;MDM4;MAP3K5;MYB;PTK6;SHC1;SKP2;AURKA;LINC00290;YWHAB;ZNF217;NCOA3;RUVBL1;SETDB1,YAP1;BIRC2;BIRC3;CCND1;FADD,HRAS;PIK3CA,CDKN2A;CDKN2B;CCND2,MYC
KYSE520,CellLine_KYSE-520,GSM1670025,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,KYSE-520,Homo sapiens,cell line: KYSE-520,primary site: aero_digestive_tract,primary histology: oesophagus,cosmic_id: 753575,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670025/suppl/GSM1670025_7878191127_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670025/suppl/GSM1670025_7878191127_R06C02_Red.idat.gz,0,KYSE-520,753575,oesophagus,aero_digestive_tract,,Tumor,,,,7878191127_R06C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670025/GSM1670025_7878191127_R06C02,0.805600166666668,CDK4;TRIB1;DNMT3B;EEF1A2;EIF2S1;ETV1;MDM2;MYC;PAK1;C11orf30;PTK6;CCND1;AURKA;TFDP1;YWHAB;YWHAZ;ZNF217;SLTM;YEATS4;NCOA3;DYRK2;FADD;MTDH;IST1,"",AKT3;CDKN2A;CDKN2B;YWHAQ;ERBB2;FGFR1;LSM1;CD274;HRAS;AR;KRAS;MET;MYCN;WHSC1L1;C8orf4;RB1;BRCA2;PLA2G10;BAG4,"",EGFR
KYSE70,CellLine_KYSE-70,GSM1670026,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,KYSE-70,Homo sapiens,cell line: KYSE-70,primary site: aero_digestive_tract,primary histology: oesophagus,cosmic_id: 753576,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670026/suppl/GSM1670026_7878191127_R04C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670026/suppl/GSM1670026_7878191127_R04C01_Red.idat.gz,0,KYSE-70,753576,oesophagus,aero_digestive_tract,,Tumor,,,,7878191127_R04C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670026/GSM1670026_7878191127_R04C01,0.726298333333334,TRIB1;EGFR;ETV1;CD274;MITF;MYC;MYCL1;TRIT1;SKP2,DCUN1D1;SOX2,STARD3;ERBB2;CCNE1,CDKN2A;CDKN2B,PIK3CA
LK2,CellLine_LK-2,GSM1670047,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,LK-2,Homo sapiens,cell line: LK-2,primary site: lung,primary histology: lung_NSCLC_squamous_cell_carcinoma,cosmic_id: 687787,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670047/suppl/GSM1670047_7878191127_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670047/suppl/GSM1670047_7878191127_R01C01_Red.idat.gz,0,LK-2,687787,lung_NSCLC_squamous_cell_carcinoma,lung,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1670047_7878191127_R01C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670047/GSM1670047_7878191127_R01C01,0.843370833333335,TRIB1;STARD3;ERBB2;FGFR1;LSM1;GRB7;MYC;DCUN1D1;WHSC1L1;EIF5A2;C8orf4;SKP2;SOX2;YWHAZ;MTDH;BAG4;CDC6,PIK3CA;CHD1L;SETDB1,CCND2,"",""
LOUNH91,CellLine_LOU-NH91,GSM1670054,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,LOU-NH91,Homo sapiens,cell line: LOU-NH91,primary site: lung,primary histology: lung_NSCLC_squamous_cell_carcinoma,cosmic_id: 1298226,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670054/suppl/GSM1670054_7878191083_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670054/suppl/GSM1670054_7878191083_R01C01_Red.idat.gz,0,LOU-NH91,1298226,lung_NSCLC_squamous_cell_carcinoma,lung,,Tumor,,,,7878191083_R01C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670054/GSM1670054_7878191083_R01C01,0.772045666666668,CDK6;ARPC1A;DNMT3B;EEF1A2;EGFR;ETV1;MET;PIK3CG;SMURF1;PTK6;RPS6KB1;SKP2;AURKA;YWHAB;ZNF217;NCOA3;PPM1D,"",BCL2L2-PABPN1;EIF2S1;FAT1;NKX2-8;PAX9;NKX2-1;LINC00290,CDKN2A;CDKN2B,""
LS123,CellLine_LS-123,GSM1670059,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,LS-123,Homo sapiens,cell line: LS-123,primary site: digestive_system,primary histology: large_intestine,cosmic_id: 907792,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670059/suppl/GSM1670059_7878191011_R01C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670059/suppl/GSM1670059_7878191011_R01C01_Red.idat.gz,0,LS-123,907792,large_intestine,digestive_system,,Tumor,,,,7878191011_R01C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670059/GSM1670059_7878191011_R01C01,0.867207333333336,TRIB1;YAP1;DNMT3B;EEF1A2;EGFR;ETV1;BIRC2;BIRC3;MAP3K5;MYB;MYC;PAK1;MED29;C11orf30;PTK6;RB1;CCND1;SKP2;BRCA2;AURKA;TFDP1;YWHAB;ZNF217;NCOA3;FADD;CCND2;CCNE1,GATA6,CDKN2A;CDKN2B;CD274;PAFAH1B1;PLA2G10,"",""
LS180,CellLine_LS-180,GSM1670060,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,LS-180,Homo sapiens,cell line: LS-180,primary site: digestive_system,primary histology: large_intestine,cosmic_id: 998189,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670060/suppl/GSM1670060_7878191001_R03C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670060/suppl/GSM1670060_7878191001_R03C01_Red.idat.gz,0,LS-180,998189,large_intestine,digestive_system,,Tumor,,,,7878191001_R03C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670060/GSM1670060_7878191001_R03C01,0.907873000000002,"","","","",""
LS513,CellLine_LS-513,GSM1670062,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,LS-513,Homo sapiens,cell line: LS-513,primary site: digestive_system,primary histology: large_intestine,cosmic_id: 907795,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670062/suppl/GSM1670062_7878191011_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670062/suppl/GSM1670062_7878191011_R01C02_Red.idat.gz,0,LS-513,907795,large_intestine,digestive_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1670062_7878191011_R01C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670062/GSM1670062_7878191011_R01C02,0.875489833333336,AKT3;CDK6;CDKN2A;ADAR;CDKN2B;ARPC1A;CKS1B;EGFR;ETV1;CD274;MDM4;MET;PIK3CG;SMURF1;RB1;SHC1;SKP2;BRCA2;TFDP1;CHD1L;SETDB1,"","","",""
M059K,CellLine_M059K,GSM1670071,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,M059K,Homo sapiens,cell line: M059K,primary site: nervous_system,primary histology: glioma,cosmic_id: 1298232,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670071/suppl/GSM1670071_8221924140_R05C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670071/suppl/GSM1670071_8221924140_R05C01_Red.idat.gz,0,M059K,1298232,glioma,nervous_system,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1670071_8221924140_R05C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670071/GSM1670071_8221924140_R05C01,0.621169166666667,BCL2L2-PABPN1;CDK6;ARPC1A;DNMT3B;E2F3;EEF1A2;EGFR;EIF2S1;ETV1;NKX2-8;MAP3K5;MYB;NRAS;PAX9;RAB23;SMURF1;PTK6;RB1;SKP2;SOX4;AURKA;TFDP1;NKX2-1;YWHAB;ZNF217;NCOA3,"",TRIB1;YWHAQ;MYC;MYCN;PAFAH1B1;REL;BRCA2;YWHAZ;MTDH,"",""
MDAMB361,CellLine_MDA-MB-361,GSM1670082,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,MDA-MB-361,Homo sapiens,cell line: MDA-MB-361,primary site: breast,primary histology: breast,cosmic_id: 908121,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670082/suppl/GSM1670082_7970376038_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670082/suppl/GSM1670082_7970376038_R01C02_Red.idat.gz,0,MDA-MB-361,908121,breast,breast,,Tumor,,,,7970376038_R01C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670082/GSM1670082_7970376038_R01C02,0.866991166666668,TRIB1;FGFR1;LSM1;KRAS;MYC;RAB23;WHSC1L1;SKP2;SOX4;YWHAZ;ZNF217;PLA2G10;CCND2;MTDH;BAG4;IST1,STARD3;ERBB2;GRB7;CCND1;RPS6KB1;PPM1D;FADD,CDKN2A;CDKN2B;CD274;HRAS;AR;CDC6,"",""
MDAMB415,CellLine_MDA-MB-415,GSM1670083,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,MDA-MB-415,Homo sapiens,cell line: MDA-MB-415,primary site: breast,primary histology: breast,cosmic_id: 924240,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670083/suppl/GSM1670083_8221924057_R01C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670083/suppl/GSM1670083_8221924057_R01C02_Red.idat.gz,0,MDA-MB-415,924240,breast,breast,,Tumor,,,,8221924057_R01C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670083/GSM1670083_8221924057_R01C02,0.779499333333332,CDK4;TRIB1;DNMT3B;E2F3;EEF1A2;KRAS;MDM2;MDM4;MAP3K5;MYB;MYC;RAB23;PIK3CA;DCUN1D1;EIF5A2;PTK6;SKP2;SOX2;SOX4;AURKA;YWHAB;ZNF217;YEATS4;NCOA3;EIF2A;PLA2G10;DYRK2,AKT3,YAP1;YWHAQ;FANCD2;FGFR1;LSM1;BIRC2;BIRC3;MITF;MYCN;PAK1;WHSC1L1;PKN1;C8orf4;C11orf30;PTEN;VHL;YWHAZ;CCND2;MTDH;BAG4,"",CCND1;FADD
MDAMB453,CellLine_MDA-MB-453,GSM1670086,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,MDA-MB-453,Homo sapiens,cell line: MDA-MB-453,primary site: breast,primary histology: breast,cosmic_id: 908122,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670086/suppl/GSM1670086_7970368027_R02C01_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670086/suppl/GSM1670086_7970368027_R02C01_Red.idat.gz,0,MDA-MB-453,908122,breast,breast,,Tumor,,,,7970368027_R02C01,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670086/GSM1670086_7970368027_R02C01,0.871829166666669,AKT3;TRIB1;ADAR;YAP1;STARD3;CKS1B;EIF2S1;ERBB2;NKX2-8;GRB7;HRAS;BIRC2;BIRC3;MDM4;MYC;PAK1;PAX9;PIK3CA;DCUN1D1;EIF5A2;C11orf30;RB1;RPS6KB1;SHC1;SOX2;BRCA2;NKX2-1;YWHAZ;SLTM;PPM1D;FADD;MTDH;CHD1L;SETDB1,CCND1,CDKN2A;CDKN2B;ARPC1A;CD274;PAFAH1B1;PIK3CG;SMURF1;TFDP1;IST1;CDC6,"",""
MELHO,CellLine_MEL-HO,GSM1670094,Public on Jul 05 2016,Apr 28 2015,Jul 05 2016,genomic,1,MEL-HO,Homo sapiens,cell line: MEL-HO,primary site: skin,primary histology: melanoma,cosmic_id: 908124,genomic DNA,Total DNA was isolated by standard procedures,"Cy3, Cy5",Standard Illumina labelling protocol,9606,"Bisulphite converted DNA was amplified, fragmented and hybridised to Illumina Infinium Human Methylation450 Beadchip using standard Illumina protocol",Arrays were imaged using High Scan SQ using standard recommended Illumina scanner setting,Sanger cell line,Genome Studio V2011.2,[Matrix.processed.txt] Average beta values and detection p-values.  Available on the Series record.,[Matrix.Signal.Intensities.txt] Unmethylated and methylated signal intensities.  Available on the Series record.,GPL13534,"Sebastian,,Moran",PEBC,IDIBELL,"Av. Gran Via de l'Hospitalet, 199-203",L'Hospitalet del Llobregat,Barcelona,08908,Spain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670094/suppl/GSM1670094_7970376015_R06C02_Grn.idat.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1670nnn/GSM1670094/suppl/GSM1670094_7970376015_R06C02_Red.idat.gz,0,MEL-HO,908124,melanoma,skin,,Cell Line,,,,analysis/ChAMP/CL_validation/GSM1670094_7970376015_R06C02,/home/idevillasante/Documents/Projects/20211210CUP/analysis/CL/GSM1670094/GSM1670094_7970376015_R06C02,0.641962166666667,CDK6;CDKN2C;ARPC1A;DNMT3B;E2F3;EEF1A2;JUN;MET;MYCL1;NRAS;RAB23;PIK3CA;PIK3CG;DCUN1D1;TRIT1;EIF5A2;SMURF1;PTK6;CCND1;SOX2;SOX4;AURKA;TFDP1;YWHAB;ZNF217;NCOA3;RUVBL1;FADD;CCND2;CHD1L,MITF,AKT3;CDKN2B;YAP1;CD274;BIRC2;BIRC3;PAFAH1B1;PAK1;C11orf30;PTEN;TET1;IST1,CDKN2A,""
